school_name	school_section	cca_grouping_desc	cca_generic_name	cca_customized_name
ENDEAVOUR PRIMARY SCHOOL	PRIMARY	VISUAL AND PERFORMING ARTS	DRAMA - ENGLISH	na
ENDEAVOUR PRIMARY SCHOOL	PRIMARY	VISUAL AND PERFORMING ARTS	ART AND CRAFT CLUB	na
ENDEAVOUR PRIMARY SCHOOL	PRIMARY	CLUBS AND SOCIETIES	IT CLUB	ICT CLUB
EUNOIA JUNIOR COLLEGE	JUNIOR COLLEGE	CLUBS AND SOCIETIES	STUDENTS' COUNCIL	na
EUNOIA JUNIOR COLLEGE	JUNIOR COLLEGE	PHYSICAL SPORTS	BADMINTON	na
EUNOIA JUNIOR COLLEGE	JUNIOR COLLEGE	PHYSICAL SPORTS	BASKETBALL	na
EUNOIA JUNIOR COLLEGE	JUNIOR COLLEGE	PHYSICAL SPORTS	HOCKEY	na
EUNOIA JUNIOR COLLEGE	JUNIOR COLLEGE	PHYSICAL SPORTS	NETBALL	na
EUNOIA JUNIOR COLLEGE	JUNIOR COLLEGE	PHYSICAL SPORTS	TRACK & FIELD	na
EUNOIA JUNIOR COLLEGE	JUNIOR COLLEGE	PHYSICAL SPORTS	TABLE TENNIS	na
EUNOIA JUNIOR COLLEGE	JUNIOR COLLEGE	PHYSICAL SPORTS	TENNIS	na
EUNOIA JUNIOR COLLEGE	JUNIOR COLLEGE	PHYSICAL SPORTS	VOLLEYBALL	na
EUNOIA JUNIOR COLLEGE	JUNIOR COLLEGE	PHYSICAL SPORTS	FLOORBALL	na
EUNOIA JUNIOR COLLEGE	JUNIOR COLLEGE	PHYSICAL SPORTS	FRISBEE	na
EUNOIA JUNIOR COLLEGE	JUNIOR COLLEGE	VISUAL AND PERFORMING ARTS	ORCHESTRA - CHINESE	na
EUNOIA JUNIOR COLLEGE	JUNIOR COLLEGE	VISUAL AND PERFORMING ARTS	CHOIR	na
EUNOIA JUNIOR COLLEGE	JUNIOR COLLEGE	VISUAL AND PERFORMING ARTS	BAND - SYMPHONIC	na
EUNOIA JUNIOR COLLEGE	JUNIOR COLLEGE	VISUAL AND PERFORMING ARTS	DRAMA - ENGLISH	na
EUNOIA JUNIOR COLLEGE	JUNIOR COLLEGE	VISUAL AND PERFORMING ARTS	ART AND CRAFT CLUB	EJ VISUAL ART CLUB
EUNOIA JUNIOR COLLEGE	JUNIOR COLLEGE	CLUBS AND SOCIETIES	DEBATING AND ORATORICAL SOCIETY	na
EUNOIA JUNIOR COLLEGE	JUNIOR COLLEGE	CLUBS AND SOCIETIES	OUTDOOR ACTIVITIES CLUB	ODAC
EUNOIA JUNIOR COLLEGE	JUNIOR COLLEGE	CLUBS AND SOCIETIES	MEDIA RESOURCE CLUB	EJ MEDIA
EUNOIA JUNIOR COLLEGE	JUNIOR COLLEGE	CLUBS AND SOCIETIES	LIBRARY RESOURCE	LIBRARY CLUB
EUNOIA JUNIOR COLLEGE	JUNIOR COLLEGE	CLUBS AND SOCIETIES	ENVIRONMENTAL CLUB	na
EUNOIA JUNIOR COLLEGE	JUNIOR COLLEGE	CLUBS AND SOCIETIES	SERVICE LEARNING CLUB	na
EUNOIA JUNIOR COLLEGE	JUNIOR COLLEGE	PHYSICAL SPORTS	SOFTBALL	na
EUNOIA JUNIOR COLLEGE	JUNIOR COLLEGE	PHYSICAL SPORTS	SQUASH	na
EUNOS PRIMARY SCHOOL	PRIMARY	PHYSICAL SPORTS	BASKETBALL	na
EUNOS PRIMARY SCHOOL	PRIMARY	PHYSICAL SPORTS	NETBALL	na
EUNOS PRIMARY SCHOOL	PRIMARY	PHYSICAL SPORTS	FOOTBALL	SOCCER
EUNOS PRIMARY SCHOOL	PRIMARY	PHYSICAL SPORTS	WUSHU	na
EUNOS PRIMARY SCHOOL	PRIMARY	UNIFORMED GROUPS	SINGAPORE RED CROSS SOCIETY	na
EUNOS PRIMARY SCHOOL	PRIMARY	VISUAL AND PERFORMING ARTS	CHOIR	na
EUNOS PRIMARY SCHOOL	PRIMARY	VISUAL AND PERFORMING ARTS	DANCE - MALAY	DANCE - CULTURAL
EUNOS PRIMARY SCHOOL	PRIMARY	VISUAL AND PERFORMING ARTS	ART AND CRAFT CLUB	ART CLUB
EUNOS PRIMARY SCHOOL	PRIMARY	CLUBS AND SOCIETIES	ROBOTICS CLUB	na
EUNOS PRIMARY SCHOOL	PRIMARY	CLUBS AND SOCIETIES	INFOCOM CLUB	NEW MEDIA CLUB
EVERGREEN PRIMARY SCHOOL	PRIMARY	PHYSICAL SPORTS	NETBALL	na
EVERGREEN PRIMARY SCHOOL	PRIMARY	PHYSICAL SPORTS	BADMINTON	na
EVERGREEN PRIMARY SCHOOL	PRIMARY	UNIFORMED GROUPS	SCOUTS	SCOUTS & GIRLS SCOUTS
EVERGREEN PRIMARY SCHOOL	PRIMARY	VISUAL AND PERFORMING ARTS	ORCHESTRA - CHINESE	CHINESE ORCHESTRA
EVERGREEN PRIMARY SCHOOL	PRIMARY	VISUAL AND PERFORMING ARTS	DANCE - CHINESE	CHINESE DANCE
EVERGREEN PRIMARY SCHOOL	PRIMARY	VISUAL AND PERFORMING ARTS	DANCE - INDIAN	INDIAN DANCE
EVERGREEN PRIMARY SCHOOL	PRIMARY	VISUAL AND PERFORMING ARTS	DANCE - MALAY	MALAY DANCE
EVERGREEN PRIMARY SCHOOL	PRIMARY	PHYSICAL SPORTS	FOOTBALL	SOCCER
WEST SPRING SECONDARY SCHOOL	SECONDARY	VISUAL AND PERFORMING ARTS	BAND - MILITARY	BAND - MARCHING
EVERGREEN SECONDARY SCHOOL	SECONDARY	CLUBS AND SOCIETIES	HOUSE APPOINTMENT	na
YUSOF ISHAK SECONDARY SCHOOL	SECONDARY	VISUAL AND PERFORMING ARTS	BAND - MILITARY	BAND - SYMPHONIC
EVERGREEN SECONDARY SCHOOL	SECONDARY	PHYSICAL SPORTS	BADMINTON	na
EVERGREEN SECONDARY SCHOOL	SECONDARY	PHYSICAL SPORTS	CROSS COUNTRY	na
EVERGREEN SECONDARY SCHOOL	SECONDARY	PHYSICAL SPORTS	NETBALL	na
EVERGREEN SECONDARY SCHOOL	SECONDARY	PHYSICAL SPORTS	RUGBY	RUGBY (BOYS)
EVERGREEN SECONDARY SCHOOL	SECONDARY	PHYSICAL SPORTS	TABLE TENNIS	na
EVERGREEN SECONDARY SCHOOL	SECONDARY	PHYSICAL SPORTS	VOLLEYBALL	na
EVERGREEN SECONDARY SCHOOL	SECONDARY	PHYSICAL SPORTS	TOUCH RUGBY	TOUCH RUGBY (GIRLS)
EVERGREEN SECONDARY SCHOOL	SECONDARY	UNIFORMED GROUPS	NPCC	na
EVERGREEN SECONDARY SCHOOL	SECONDARY	UNIFORMED GROUPS	SINGAPORE RED CROSS SOCIETY	RED CROSS YOUTH
EVERGREEN SECONDARY SCHOOL	SECONDARY	UNIFORMED GROUPS	NCC (LAND)	na
EVERGREEN SECONDARY SCHOOL	SECONDARY	UNIFORMED GROUPS	NATIONAL CIVIL DEFENCE CADET CORPS	NCDCC
EVERGREEN SECONDARY SCHOOL	SECONDARY	VISUAL AND PERFORMING ARTS	ORCHESTRA - CHINESE	CHINESE ORCHESTRA
EVERGREEN SECONDARY SCHOOL	SECONDARY	VISUAL AND PERFORMING ARTS	ENSEMBLE - GUITAR	GUITAR ENSEMBLE
EVERGREEN SECONDARY SCHOOL	SECONDARY	VISUAL AND PERFORMING ARTS	ENSEMBLE - GAMELAN	GAMELAN ENSEMBLE
EVERGREEN SECONDARY SCHOOL	SECONDARY	VISUAL AND PERFORMING ARTS	DANCE - CHINESE	CHINESE DANCE
EVERGREEN SECONDARY SCHOOL	SECONDARY	VISUAL AND PERFORMING ARTS	DANCE - MALAY	MALAY DANCE
QUEENSWAY SECONDARY SCHOOL	SECONDARY	CLUBS AND SOCIETIES	AUDIO & VIDEO/ PA CLUB	na
EVERGREEN SECONDARY SCHOOL	SECONDARY	CLUBS AND SOCIETIES	LDDS - ENGLISH	ELDDS
EVERGREEN SECONDARY SCHOOL	SECONDARY	CLUBS AND SOCIETIES	INTERACT CLUB	na
EVERGREEN SECONDARY SCHOOL	SECONDARY	CLUBS AND SOCIETIES	SINGAPORE YOUTH FLYING CLUB	na
EVERGREEN SECONDARY SCHOOL	SECONDARY	CLUBS AND SOCIETIES	IT CLUB	DIGITAL MEDIA CLUB
FAIRFIELD METHODIST SCHOOL (PRIMARY)	PRIMARY	VISUAL AND PERFORMING ARTS	DANCE - CHINESE	na
FAIRFIELD METHODIST SCHOOL (PRIMARY)	PRIMARY	CLUBS AND SOCIETIES	CHRISTIAN FELLOWSHIP	na
FAIRFIELD METHODIST SCHOOL (PRIMARY)	PRIMARY	PHYSICAL SPORTS	VOLLEYBALL	na
FAIRFIELD METHODIST SCHOOL (PRIMARY)	PRIMARY	UNIFORMED GROUPS	BOYS' BRIGADE	na
FAIRFIELD METHODIST SCHOOL (PRIMARY)	PRIMARY	UNIFORMED GROUPS	GIRLS' BRIGADE	na
FAIRFIELD METHODIST SCHOOL (PRIMARY)	PRIMARY	UNIFORMED GROUPS	SINGAPORE RED CROSS SOCIETY	na
FAIRFIELD METHODIST SCHOOL (PRIMARY)	PRIMARY	VISUAL AND PERFORMING ARTS	CHOIR	na
FAIRFIELD METHODIST SCHOOL (PRIMARY)	PRIMARY	PHYSICAL SPORTS	BADMINTON	na
FAIRFIELD METHODIST SCHOOL (PRIMARY)	PRIMARY	PHYSICAL SPORTS	BASKETBALL	na
FAIRFIELD METHODIST SCHOOL (PRIMARY)	PRIMARY	PHYSICAL SPORTS	FOOTBALL	na
REGENT SECONDARY SCHOOL	SECONDARY	CLUBS AND SOCIETIES	AUDIO & VIDEO/ PA CLUB	MEDIATECH CLUB
FAIRFIELD METHODIST SCHOOL (SECONDARY)	SECONDARY	CLUBS AND SOCIETIES	JOURNALISM BROADCAST	JOURNALISM
FAIRFIELD METHODIST SCHOOL (SECONDARY)	SECONDARY	PHYSICAL SPORTS	BASKETBALL	BASKETBALL (BOYS)
FAIRFIELD METHODIST SCHOOL (SECONDARY)	SECONDARY	PHYSICAL SPORTS	NETBALL	na
FAIRFIELD METHODIST SCHOOL (SECONDARY)	SECONDARY	PHYSICAL SPORTS	FOOTBALL	FOOTBALL (BOYS)
FAIRFIELD METHODIST SCHOOL (SECONDARY)	SECONDARY	PHYSICAL SPORTS	SQUASH	SQUASH (BOYS)
FAIRFIELD METHODIST SCHOOL (SECONDARY)	SECONDARY	PHYSICAL SPORTS	VOLLEYBALL	na
FAIRFIELD METHODIST SCHOOL (SECONDARY)	SECONDARY	UNIFORMED GROUPS	BOYS' BRIGADE	na
FAIRFIELD METHODIST SCHOOL (SECONDARY)	SECONDARY	UNIFORMED GROUPS	GIRLS' BRIGADE	na
FAIRFIELD METHODIST SCHOOL (SECONDARY)	SECONDARY	UNIFORMED GROUPS	SINGAPORE RED CROSS SOCIETY	RED CROSS YOUTH
FAIRFIELD METHODIST SCHOOL (SECONDARY)	SECONDARY	UNIFORMED GROUPS	NCC (LAND)	NCC (LAND) (BOYS)
FAIRFIELD METHODIST SCHOOL (SECONDARY)	SECONDARY	UNIFORMED GROUPS	NCC (SEA)	na
FAIRFIELD METHODIST SCHOOL (SECONDARY)	SECONDARY	VISUAL AND PERFORMING ARTS	CHOIR	na
FAIRFIELD METHODIST SCHOOL (SECONDARY)	SECONDARY	VISUAL AND PERFORMING ARTS	ENSEMBLE - GUITAR	na
BARTLEY SECONDARY SCHOOL	SECONDARY	VISUAL AND PERFORMING ARTS	BAND - MILITARY	BAND-CONCERT
FAIRFIELD METHODIST SCHOOL (SECONDARY)	SECONDARY	VISUAL AND PERFORMING ARTS	DANCE - INTERNATIONAL	na
FAIRFIELD METHODIST SCHOOL (SECONDARY)	SECONDARY	VISUAL AND PERFORMING ARTS	DRAMA - ENGLISH	na
RIVERSIDE SECONDARY SCHOOL	SECONDARY	CLUBS AND SOCIETIES	AUDIO & VIDEO/ PA CLUB	MEDIA CLUB
SEMBAWANG SECONDARY SCHOOL	SECONDARY	CLUBS AND SOCIETIES	AUDIO & VIDEO/ PA CLUB	AUDIO VISUAL AIDS CLUB
FAIRFIELD METHODIST SCHOOL (SECONDARY)	SECONDARY	CLUBS AND SOCIETIES	CHRISTIAN SOCIETY	CHRISTIAN FELLOWSHIP
FAIRFIELD METHODIST SCHOOL (SECONDARY)	SECONDARY	PHYSICAL SPORTS	BADMINTON	na
FAJAR SECONDARY SCHOOL	SECONDARY	PHYSICAL SPORTS	BADMINTON	BADMINTON
FAJAR SECONDARY SCHOOL	SECONDARY	PHYSICAL SPORTS	BASKETBALL	BASKETBALL
FAJAR SECONDARY SCHOOL	SECONDARY	PHYSICAL SPORTS	NETBALL	na
FAJAR SECONDARY SCHOOL	SECONDARY	PHYSICAL SPORTS	FOOTBALL	FOOTBALL
FAJAR SECONDARY SCHOOL	SECONDARY	UNIFORMED GROUPS	BOYS' BRIGADE	BOYS' BRIGADE
FAJAR SECONDARY SCHOOL	SECONDARY	UNIFORMED GROUPS	GIRLS' BRIGADE	na
FAJAR SECONDARY SCHOOL	SECONDARY	UNIFORMED GROUPS	NPCC	NPCC
BEATTY SECONDARY SCHOOL	SECONDARY	VISUAL AND PERFORMING ARTS	BAND - MILITARY	CONCERT BAND
FAJAR SECONDARY SCHOOL	SECONDARY	CLUBS AND SOCIETIES	IT CLUB	INFOCOMM CLUB
FAJAR SECONDARY SCHOOL	SECONDARY	VISUAL AND PERFORMING ARTS	DRAMA - ENGLISH	DRAMA
BOWEN SECONDARY SCHOOL	SECONDARY	VISUAL AND PERFORMING ARTS	BAND - MILITARY	na
FAJAR SECONDARY SCHOOL	SECONDARY	UNIFORMED GROUPS	SCOUTS	na
FAJAR SECONDARY SCHOOL	SECONDARY	UNIFORMED GROUPS	NCC (LAND)	NCC (LAND)
FAJAR SECONDARY SCHOOL	SECONDARY	UNIFORMED GROUPS	NATIONAL CIVIL DEFENCE CADET CORPS	na
SENG KANG SECONDARY SCHOOL	SECONDARY	CLUBS AND SOCIETIES	AUDIO & VIDEO/ PA CLUB	MEDIA SERVICES CLUB
FARRER PARK PRIMARY SCHOOL	PRIMARY	VISUAL AND PERFORMING ARTS	ART AND CRAFT CLUB	na
FARRER PARK PRIMARY SCHOOL	PRIMARY	PHYSICAL SPORTS	BADMINTON	na
FARRER PARK PRIMARY SCHOOL	PRIMARY	PHYSICAL SPORTS	BASKETBALL	na
FARRER PARK PRIMARY SCHOOL	PRIMARY	PHYSICAL SPORTS	SWIMMING	na
FARRER PARK PRIMARY SCHOOL	PRIMARY	PHYSICAL SPORTS	TENNIS	na
FARRER PARK PRIMARY SCHOOL	PRIMARY	PHYSICAL SPORTS	TCHOUKBALL	na
FARRER PARK PRIMARY SCHOOL	PRIMARY	UNIFORMED GROUPS	BOYS' BRIGADE	na
FARRER PARK PRIMARY SCHOOL	PRIMARY	VISUAL AND PERFORMING ARTS	DRAMA - ENGLISH	na
FARRER PARK PRIMARY SCHOOL	PRIMARY	CLUBS AND SOCIETIES	ENVIRONMENTAL CLUB	na
FARRER PARK PRIMARY SCHOOL	PRIMARY	CLUBS AND SOCIETIES	INFOCOM CLUB	INFOCOMM CLUB
FENGSHAN PRIMARY SCHOOL	PRIMARY	VISUAL AND PERFORMING ARTS	DANCE - CHINESE	CHINESE DANCE
FENGSHAN PRIMARY SCHOOL	PRIMARY	VISUAL AND PERFORMING ARTS	DANCE - INDIAN	INDIAN DANCE
FENGSHAN PRIMARY SCHOOL	PRIMARY	VISUAL AND PERFORMING ARTS	BAND - CONCERT	CONCERT BAND
FENGSHAN PRIMARY SCHOOL	PRIMARY	PHYSICAL SPORTS	BASKETBALL	na
FENGSHAN PRIMARY SCHOOL	PRIMARY	PHYSICAL SPORTS	NETBALL	na
FENGSHAN PRIMARY SCHOOL	PRIMARY	PHYSICAL SPORTS	FOOTBALL	SOCCER
FENGSHAN PRIMARY SCHOOL	PRIMARY	PHYSICAL SPORTS	WUSHU	na
FENGSHAN PRIMARY SCHOOL	PRIMARY	UNIFORMED GROUPS	BOYS' BRIGADE	na
FENGSHAN PRIMARY SCHOOL	PRIMARY	UNIFORMED GROUPS	SINGAPORE RED CROSS SOCIETY	Red Cross
FENGSHAN PRIMARY SCHOOL	PRIMARY	UNIFORMED GROUPS	SCOUTS	na
FENGSHAN PRIMARY SCHOOL	PRIMARY	UNIFORMED GROUPS	BROWNIES	na
FENGSHAN PRIMARY SCHOOL	PRIMARY	VISUAL AND PERFORMING ARTS	CHOIR	na
FERNVALE PRIMARY SCHOOL	PRIMARY	PHYSICAL SPORTS	BADMINTON	na
FERNVALE PRIMARY SCHOOL	PRIMARY	PHYSICAL SPORTS	BASKETBALL	na
FERNVALE PRIMARY SCHOOL	PRIMARY	PHYSICAL SPORTS	WUSHU	na
FERNVALE PRIMARY SCHOOL	PRIMARY	VISUAL AND PERFORMING ARTS	ART AND CRAFT CLUB	na
FIRST TOA PAYOH PRIMARY SCHOOL	PRIMARY	PHYSICAL SPORTS	BASKETBALL	na
FIRST TOA PAYOH PRIMARY SCHOOL	PRIMARY	PHYSICAL SPORTS	FOOTBALL	na
FIRST TOA PAYOH PRIMARY SCHOOL	PRIMARY	UNIFORMED GROUPS	BOYS' BRIGADE	na
FIRST TOA PAYOH PRIMARY SCHOOL	PRIMARY	UNIFORMED GROUPS	GIRLS' BRIGADE	na
FIRST TOA PAYOH PRIMARY SCHOOL	PRIMARY	UNIFORMED GROUPS	SCOUTS	na
FIRST TOA PAYOH PRIMARY SCHOOL	PRIMARY	UNIFORMED GROUPS	BROWNIES	na
FIRST TOA PAYOH PRIMARY SCHOOL	PRIMARY	VISUAL AND PERFORMING ARTS	CHOIR	na
FRONTIER PRIMARY SCHOOL	PRIMARY	PHYSICAL SPORTS	BADMINTON	na
FRONTIER PRIMARY SCHOOL	PRIMARY	PHYSICAL SPORTS	BASKETBALL	na
FRONTIER PRIMARY SCHOOL	PRIMARY	PHYSICAL SPORTS	RUGBY	na
FRONTIER PRIMARY SCHOOL	PRIMARY	PHYSICAL SPORTS	ROCKWALL CLIMBING	SPORT CLIMBING
FRONTIER PRIMARY SCHOOL	PRIMARY	PHYSICAL SPORTS	SOFTBALL	na
FRONTIER PRIMARY SCHOOL	PRIMARY	UNIFORMED GROUPS	SINGAPORE RED CROSS SOCIETY	na
FRONTIER PRIMARY SCHOOL	PRIMARY	UNIFORMED GROUPS	SCOUTS	na
FRONTIER PRIMARY SCHOOL	PRIMARY	VISUAL AND PERFORMING ARTS	CHOIR	na
FRONTIER PRIMARY SCHOOL	PRIMARY	VISUAL AND PERFORMING ARTS	ENSEMBLE - STRING	na
FRONTIER PRIMARY SCHOOL	PRIMARY	VISUAL AND PERFORMING ARTS	DANCE - MODERN	DANZWHIZ
FRONTIER PRIMARY SCHOOL	PRIMARY	VISUAL AND PERFORMING ARTS	DANCE - CHINESE	na
FRONTIER PRIMARY SCHOOL	PRIMARY	VISUAL AND PERFORMING ARTS	ART AND CRAFT CLUB	na
FRONTIER PRIMARY SCHOOL	PRIMARY	CLUBS AND SOCIETIES	MEDIA RESOURCE AND IT CLUB	ROBOTICS/NEW MEDIA CLUB
FUCHUN PRIMARY SCHOOL	PRIMARY	CLUBS AND SOCIETIES	PUBLIC SPEAKING CLUB	SPEECH & DRAMA CLUB
FUCHUN PRIMARY SCHOOL	PRIMARY	PHYSICAL SPORTS	BADMINTON	na
FUCHUN PRIMARY SCHOOL	PRIMARY	PHYSICAL SPORTS	BASKETBALL	na
FUCHUN PRIMARY SCHOOL	PRIMARY	PHYSICAL SPORTS	FOOTBALL	na
FUCHUN PRIMARY SCHOOL	PRIMARY	PHYSICAL SPORTS	TABLE TENNIS	na
FUCHUN PRIMARY SCHOOL	PRIMARY	UNIFORMED GROUPS	SCOUTS	na
FUCHUN PRIMARY SCHOOL	PRIMARY	UNIFORMED GROUPS	BROWNIES	na
FUCHUN PRIMARY SCHOOL	PRIMARY	VISUAL AND PERFORMING ARTS	CHOIR	na
FUCHUN PRIMARY SCHOOL	PRIMARY	VISUAL AND PERFORMING ARTS	ENSEMBLE - GUITAR	na
FUCHUN PRIMARY SCHOOL	PRIMARY	VISUAL AND PERFORMING ARTS	ENSEMBLE - STRING	na
FUCHUN PRIMARY SCHOOL	PRIMARY	VISUAL AND PERFORMING ARTS	BAND - BRASS	na
FUCHUN PRIMARY SCHOOL	PRIMARY	VISUAL AND PERFORMING ARTS	DANCE - INTERNATIONAL	na
FUCHUN PRIMARY SCHOOL	PRIMARY	VISUAL AND PERFORMING ARTS	ART AND CRAFT CLUB	na
FUCHUN PRIMARY SCHOOL	PRIMARY	CLUBS AND SOCIETIES	GREEN CLUB	na
FUCHUN PRIMARY SCHOOL	PRIMARY	CLUBS AND SOCIETIES	IT CLUB	ICT Club
FUCHUN PRIMARY SCHOOL	PRIMARY	CLUBS AND SOCIETIES	LIBRARY	LIBRARY CLUB
FUCHUN SECONDARY SCHOOL	SECONDARY	PHYSICAL SPORTS	BASKETBALL	na
FUCHUN SECONDARY SCHOOL	SECONDARY	PHYSICAL SPORTS	NETBALL	na
FUCHUN SECONDARY SCHOOL	SECONDARY	PHYSICAL SPORTS	SEPAK TAKRAW	na
FUCHUN SECONDARY SCHOOL	SECONDARY	PHYSICAL SPORTS	FOOTBALL	na
FUCHUN SECONDARY SCHOOL	SECONDARY	UNIFORMED GROUPS	BOYS' BRIGADE	na
FUCHUN SECONDARY SCHOOL	SECONDARY	UNIFORMED GROUPS	GIRL GUIDES	na
